Player_Name,Year,Month,Region,Platform,Days_Active,Sessions_Per_Month,Avg_Session_Time_Min,In_App_Purchase_USD,Clan_Joined,Update_Event,Satisfaction_Score,Churn_Risk_Score,Churned,Monthly_Active_Index
FireWarrior4399,2015,7,North America,Android,6,79,40.93,62.93,Yes,None,1.8,13.11,1,474
UltraRider4266,2021,4,Europe,iOS,2,61,23.13,13.75,Yes,None,6.1,15.04,1,122
IceRider8046,2025,8,Asia,iOS,26,71,50.51,2.88,No,Minor,7.2,3.99,0,1846
IronKing6226,2019,3,Europe,Android,10,98,59.42,4.42,No,Minor,9,11.02,0,980
DarkSniper4917,2015,1,Europe,Android,17,10,47.85,0.93,No,Major,2.9,8.89,0,170
SilentRaider1992,2025,5,South America,Android,19,74,45.86,24.75,No,None,5.1,8.48,0,1406
DarkHunter1330,2018,2,South America,Android,28,35,24.53,24.35,Yes,None,1.5,4.88,0,980
SilentHunter1631,2014,3,North America,iOS,4,26,34.4,18.45,Yes,Minor,2.5,13.95,1,104
NightLegend4209,2025,6,South America,Android,13,89,7.9,15.81,Yes,Minor,9.3,9.29,0,1157
StormRider9063,2023,3,Asia,Android,21,42,45,9.61,Yes,Minor,9.4,4.86,0,882
SilentSlayer5326,2019,3,Asia,Android,27,106,42.13,60.17,No,Minor,1.4,6,0,2862
UltraRider330,2026,12,Asia,Android,26,62,19.81,32.24,No,Minor,5.8,4.19,0,1612
SilentMaster6692,2025,6,North America,iOS,19,74,34.38,47.64,Yes,None,2.2,7.3,0,1406
SilentKing1734,2022,5,Asia,Android,16,33,42.36,7.47,Yes,Major,7.3,9.34,0,528
ShadowDestroyer2556,2014,10,Asia,Android,13,60,25.23,76.59,Yes,Minor,6.6,8.64,0,780
IceKing993,2024,9,South America,iOS,30,114,44.91,3.61,Yes,Major,5.6,2.4,0,3420
ShadowChampion9815,2024,1,North America,Android,5,15,48.82,1.16,No,None,5.7,12.87,1,75
ToxicWizard9448,2023,3,Europe,iOS,12,52,17.29,7.71,No,None,6.5,10.65,0,624
NightTitan6432,2025,3,Asia,iOS,7,90,21.57,4.5,No,Minor,5,12.07,1,630
IronWarrior9338,2025,11,South America,iOS,27,64,27.09,14.58,No,Major,7.6,2.64,0,1728
ToxicViper4851,2016,6,Europe,iOS,9,55,17.96,8.62,No,Minor,7.4,11.24,0,495
IceLegend2851,2025,8,Asia,Android,5,43,47.66,3.77,Yes,None,4,14.13,1,215
ProKing452,2020,3,Europe,iOS,4,10,36.45,37.19,Yes,Minor,7.5,13.57,1,40
IronLegend559,2017,3,Europe,Android,10,34,25.91,14.18,No,Minor,4.1,11.38,0,340
NightHunter5479,2022,6,North America,iOS,16,111,5.88,2.32,Yes,None,6.3,8.77,0,1776
StormDestroyer3248,2016,8,North America,iOS,11,93,22.92,1.57,Yes,Minor,2.9,10.76,0,1023
WarChampion9073,2018,6,Asia,Android,29,104,51.01,9.66,Yes,None,3.8,2.7,0,3016
ProRider2157,2016,12,Asia,Android,9,5,45.89,47.72,Yes,Major,3,10.96,0,45
NightMaster1353,2020,10,North America,iOS,24,90,8.71,14.19,Yes,Minor,9.9,2.56,0,2160
StormKnight7271,2018,3,Asia,Android,5,13,49.08,3,No,Minor,6.5,11.75,0,65
FireRider437,2022,4,Asia,iOS,25,49,14.85,5.66,Yes,Minor,7.1,4.85,0,1225
EliteTitan5405,2020,1,North America,Android,11,12,59.29,1.01,Yes,Minor,6.7,11.32,0,132
ProSlayer265,2015,8,Europe,iOS,30,38,52.77,35.66,Yes,None,1.3,4.99,0,1140
FireSniper3889,2017,4,Asia,Android,9,84,55.23,58.39,Yes,Minor,7.5,11.45,0,756
ProWizard4952,2022,6,South America,Android,17,87,47.32,1.62,No,Major,8,8.53,0,1479
IceRaider8103,2025,11,North America,iOS,28,12,44.09,3.8,Yes,None,4.1,3.25,0,336
StormTitan1804,2015,3,Asia,iOS,22,16,18.44,3.75,Yes,None,6.3,4.49,0,352
IronLegend3724,2023,11,Asia,iOS,11,47,37.25,32.56,Yes,None,1.2,11.5,0,517
IronLegend8444,2022,12,North America,Android,21,109,43.3,36.56,No,None,2.9,6.86,0,2289
IronDestroyer9976,2023,11,South America,Android,6,60,20.84,10.87,No,Major,2.7,13.58,1,360
GhostChampion3743,2018,6,South America,iOS,26,35,26.91,69.69,No,Minor,3.3,5.06,0,910
WarTitan5887,2015,12,North America,Android,16,46,57.09,6.01,Yes,Major,4.4,9.52,0,736
ProMaster3704,2017,11,South America,iOS,19,37,27.44,14.89,No,None,3,8.89,0,703
DarkSlayer7642,2025,9,Asia,Android,14,23,22.35,111.93,Yes,Major,3.1,10.2,0,322
FireTitan7470,2025,9,South America,Android,3,95,10.9,35.1,No,None,9.6,11.54,0,285
UltraRaider2889,2020,10,Asia,Android,10,92,23.77,13.36,No,Minor,3.3,12.65,1,920
NightLegend8362,2025,3,Europe,iOS,21,117,38.67,2.3,No,Major,6.1,5.56,0,2457
IceSniper6118,2026,3,South America,Android,23,96,13.13,46.94,No,None,6.8,6.06,0,2208
ProSlayer7258,2021,4,Europe,Android,4,59,38.29,15.62,Yes,Major,3.8,13.78,1,236
FireLegend3112,2016,12,North America,Android,22,8,45.77,7.37,Yes,None,1.6,7.39,0,176
UltraChampion1281,2014,7,South America,Android,21,16,47.25,12,No,None,5.3,5.49,0,336
FireWizard9827,2017,3,Asia,iOS,2,91,59.16,7.45,No,Major,9.9,12.94,1,182
SilentKing4094,2015,10,South America,Android,13,88,28.9,16.02,No,None,3.6,11.22,0,1144
ToxicKing3779,2021,8,North America,Android,11,108,6.78,6.37,No,Minor,1,11.61,0,1188
IronRider9266,2017,11,North America,Android,12,32,52.01,11.81,No,Minor,8.2,8.71,0,384
GhostViper8127,2015,8,Asia,Android,1,62,9.59,11.11,No,None,3.3,14.42,1,62
IceChampion2861,2019,6,South America,iOS,22,52,52.39,19.15,Yes,None,8.7,5.01,0,1144
IceKnight1157,2019,4,Europe,Android,21,5,59.05,0.29,Yes,None,3.3,6.35,0,105
StormTitan1122,2023,11,North America,Android,9,109,54.88,18.26,Yes,None,8.8,10.08,0,981
SilentChampion2141,2017,12,North America,Android,12,79,58.02,17.98,Yes,None,9.2,8.93,0,948
GhostViper4383,2019,11,Asia,Android,7,48,6.28,9.96,No,Minor,6.2,10.85,0,336
EliteWizard8316,2026,5,South America,iOS,17,67,5.63,5.67,No,Minor,8.5,8.22,0,1139
SilentWarrior1826,2015,12,Europe,Android,29,99,16.57,36.56,No,None,8.8,2.92,0,2871
ShadowRider6255,2023,2,South America,Android,10,109,48.93,8.46,Yes,None,4.1,12.22,1,1090
StormDestroyer1901,2025,6,South America,iOS,6,42,9.92,7.47,No,Major,6.9,13.12,1,252
IceChampion1443,2015,3,Europe,Android,27,13,46.06,12.44,Yes,Minor,6.4,3.81,0,351
SilentViper7351,2023,6,Asia,iOS,7,10,5.69,6.51,No,Minor,4.9,13.38,1,70
ShadowViper5580,2017,12,North America,Android,19,74,45.21,35.53,Yes,None,7.8,6.85,0,1406
ToxicWarrior4027,2021,5,Asia,Android,14,56,18.75,16.65,No,Minor,5.2,10.72,0,784
NightWizard6305,2020,2,Asia,Android,25,71,29.22,28.08,No,None,3.4,5.27,0,1775
FireSniper2972,2025,12,South America,Android,27,100,58.71,27.36,Yes,Minor,3.5,5.48,0,2700
RoyalViper1919,2022,5,Europe,Android,30,103,35.35,31.04,No,None,1,3.75,0,3090
RoyalSlayer4657,2021,5,North America,Android,30,20,9.1,40.68,Yes,None,1.7,2.87,0,600
IronHunter3644,2018,9,South America,Android,11,6,53.02,50.38,No,Minor,2.3,12.5,1,66
ToxicRider3290,2026,11,North America,Android,2,40,22.8,9.68,No,Minor,7.4,14.08,1,80
FireMaster5429,2015,8,South America,Android,1,109,37.19,11.73,Yes,Minor,2.1,15.72,1,109
NightRaider9595,2018,12,Europe,Android,26,75,44.15,1.03,Yes,None,3,6.55,0,1950
ToxicSniper894,2021,12,North America,Android,10,39,47.76,51.99,No,Major,5.3,11.78,0,390
ToxicKnight4870,2023,7,North America,Android,12,34,28.79,17.69,Yes,Minor,4,9.22,0,408
UltraRider1451,2022,12,Asia,iOS,9,49,47.52,24.92,No,Minor,8,9.13,0,441
FireMaster7836,2025,3,South America,Android,23,50,11.43,11.45,No,Major,1.9,6.96,0,1150
UltraKing5958,2025,10,South America,iOS,26,97,33.91,12.84,Yes,Minor,9.8,3.03,0,2522
UltraMaster9659,2025,4,South America,iOS,29,109,6.2,15.67,No,None,8.4,1.03,0,3161
StormKing652,2026,6,Asia,Android,11,69,27.34,31.73,Yes,None,5.5,9.24,0,759
UltraLegend5679,2022,3,Asia,iOS,1,112,25.06,18.98,No,Minor,2.1,15,1,112
GhostDestroyer5856,2026,11,North America,Android,20,5,58.8,33.34,No,Minor,1.9,7.71,0,100
DarkChampion7033,2026,9,South America,Android,10,109,26.88,4.88,Yes,None,2.4,12.45,1,1090
WarWarrior5633,2014,8,South America,iOS,29,61,54.89,4.61,No,Major,2.6,4.92,0,1769
NightViper8593,2022,6,North America,iOS,19,75,28.94,4.63,Yes,Major,7.8,6.66,0,1425
ToxicTitan9711,2020,4,North America,iOS,27,71,34.34,0.1,Yes,None,9.8,1.7,0,1917
IceWarrior5412,2022,7,North America,Android,23,104,24.29,3.95,Yes,None,7.8,4.53,0,2392
ProMaster4275,2021,11,Europe,iOS,21,107,40.2,2.53,No,None,7.9,6.65,0,2247
EliteKnight2284,2014,3,Europe,iOS,25,35,45.65,12.09,Yes,None,9.5,4.89,0,875
EliteKing5316,2025,10,North America,iOS,11,29,48.51,2.72,No,Major,1.9,10.94,0,319
FireKnight6855,2021,8,Asia,Android,3,51,43.17,10.75,No,Minor,1.9,13.4,1,153
UltraChampion4453,2021,1,Asia,Android,27,60,23.15,152.14,Yes,Minor,9.1,2.3,0,1620
RoyalViper9518,2024,3,South America,iOS,16,92,23.18,14,Yes,Major,6,9.26,0,1472
ProMaster9067,2016,11,Europe,iOS,22,5,24.13,51.71,No,Major,3.2,6.43,0,110
WarSniper7399,2014,5,Europe,iOS,10,106,7.08,24.21,No,Minor,2.8,10.56,0,1060
IceWizard6482,2021,5,North America,iOS,2,99,56.87,44.95,No,None,6.5,14.31,1,198
ProRider3207,2016,10,North America,iOS,19,41,15.76,19.65,Yes,None,6.7,7.89,0,779
IronRider3636,2016,2,North America,iOS,4,79,13.76,33.22,Yes,Minor,7.8,12.96,1,316
SilentKnight3771,2014,10,North America,iOS,16,117,35.38,7.21,No,None,6.8,8.9,0,1872
RoyalRaider7712,2024,8,North America,Android,6,71,7.61,9.3,No,Minor,7.5,12.89,1,426
StormChampion385,2018,5,Asia,iOS,11,16,51.08,64.51,No,None,7.4,9.2,0,176
NightKnight9065,2023,7,Asia,iOS,17,24,53.19,6.23,Yes,Minor,1.5,9.82,0,408
NightSlayer8730,2020,7,North America,Android,15,34,26.88,10.94,No,Major,7.4,9.23,0,510
IronMaster7726,2023,5,Asia,iOS,22,78,58.43,21.06,Yes,None,2.4,5.52,0,1716
IronKnight7093,2022,8,North America,Android,4,107,22.83,9.96,Yes,Minor,5.5,14.19,1,428
NightMaster9708,2025,9,North America,iOS,24,68,19.31,0.42,Yes,Major,3.3,6.53,0,1632
DarkMaster9367,2020,4,Europe,Android,25,83,59.43,31.43,Yes,None,7.1,4.53,0,2075
ShadowWarrior5796,2022,4,Asia,iOS,8,89,18.77,8.18,Yes,None,3.7,10.7,0,712
ToxicHunter1669,2021,8,Asia,iOS,24,68,29.43,5.17,No,Minor,9.2,2.91,0,1632
StormTitan7527,2025,1,Europe,Android,29,22,38.65,14.09,Yes,None,1.4,4.04,0,638
ShadowViper6044,2015,4,Asia,Android,29,36,22.74,0.17,No,None,5.3,2.36,0,1044
SilentWarrior4361,2014,6,Europe,Android,18,23,26.13,39.89,Yes,Minor,4.8,6.89,0,414
UltraSniper3527,2020,4,South America,iOS,14,98,44.64,6.06,Yes,Major,2.7,9.5,0,1372
GhostHunter8097,2020,6,Asia,iOS,26,37,44.77,51.21,No,None,1.6,4.14,0,962
ShadowRaider5818,2021,5,North America,iOS,2,66,49.2,22.65,Yes,None,3,13.64,1,132
NightSlayer1677,2018,9,Europe,iOS,16,26,37.65,15.91,No,Minor,2.2,9.21,0,416
RoyalRider8331,2016,10,North America,iOS,22,113,17.84,32.82,Yes,Minor,2.7,7.4,0,2486
EliteKing6307,2025,9,North America,Android,15,33,23.32,99.98,Yes,None,8.7,7.79,0,495
WarSniper3350,2021,4,Asia,iOS,21,92,54.54,5.79,No,None,7.5,7.29,0,1932
WarDestroyer3431,2019,4,Europe,Android,6,8,45.36,8.77,No,Minor,2.3,12.01,1,48
RoyalLegend3132,2024,12,South America,Android,9,54,9.84,13.25,No,Major,9.1,10.74,0,486
IronSniper1362,2016,8,North America,iOS,12,80,46.45,15.51,No,Major,9,9.44,0,960
ProTitan7394,2014,10,North America,iOS,10,104,23.19,16.1,Yes,None,3.3,12.06,1,1040
IceKnight5321,2016,4,South America,Android,7,8,6.28,15.92,Yes,None,1.4,13.03,1,56
ToxicDestroyer4266,2018,2,Europe,iOS,5,9,31.61,35.23,Yes,None,7.2,11.98,0,45
NightRaider1251,2016,2,Asia,Android,26,87,53.59,10.37,No,Minor,6.2,5.35,0,2262
ToxicDestroyer7266,2014,1,North America,iOS,23,109,29.44,0.22,Yes,Minor,4.4,4.95,0,2507
NightSniper7546,2018,5,Asia,Android,8,43,59.38,41.7,No,Major,1.4,12.29,1,344
IronMaster9263,2023,6,Europe,iOS,27,61,14.79,21.71,No,None,2.2,3.99,0,1647
IronRider7511,2020,9,South America,iOS,12,35,24.3,4.2,No,Minor,6.4,8.66,0,420
ToxicSlayer9109,2020,5,Asia,iOS,1,11,5.91,0.6,No,Minor,7,13.7,1,11
StormRaider5913,2024,6,Europe,Android,10,16,7.77,7.59,Yes,Minor,2.9,12.89,1,160
GhostWarrior2167,2022,6,Asia,iOS,11,14,24.49,2.66,No,None,5,11.83,0,154
FireChampion5901,2023,3,Asia,Android,27,33,34.06,45.43,Yes,Major,8.9,3.52,0,891
SilentLegend9042,2023,12,North America,iOS,23,89,18.04,6.51,Yes,Minor,3.2,6.34,0,2047
WarSniper6292,2025,4,Asia,iOS,20,17,14.16,24.46,Yes,None,8.9,6.07,0,340
EliteWizard4238,2026,1,North America,Android,5,91,28.14,21.46,Yes,None,3.6,13.86,1,455
GhostWizard4013,2016,4,Europe,Android,13,74,14.39,25.03,No,Minor,8.7,8.69,0,962
FireLegend7600,2020,1,Europe,Android,18,35,39.7,15.1,Yes,None,6.2,7.53,0,630
ShadowRaider1471,2014,5,North America,iOS,10,13,57.54,26.16,No,Minor,7.8,11.08,0,130
IceLegend3101,2017,11,South America,iOS,21,55,49.36,14.36,Yes,Minor,4.1,7.89,0,1155
GhostMaster4378,2026,11,Asia,iOS,25,92,16.84,9.48,Yes,Minor,2.3,5.88,0,2300
RoyalTitan9207,2017,8,Europe,iOS,17,20,57.31,39.1,Yes,None,2.3,9.24,0,340
ShadowWizard2151,2018,8,Europe,iOS,19,63,46.31,12.28,Yes,None,2.5,7.17,0,1197
GhostKnight3323,2020,5,South America,iOS,4,62,13.52,16.79,Yes,Minor,2.8,13.68,1,248
ShadowChampion6933,2020,10,Europe,iOS,9,15,36.87,12.51,Yes,None,8.9,10.36,0,135
StormKnight9902,2026,2,North America,Android,18,40,58.16,29.88,Yes,Minor,5.4,7.5,0,720
ProDestroyer559,2024,12,South America,iOS,16,5,10.32,15.52,Yes,None,3,10,0,80
EliteLegend3275,2026,6,Europe,Android,7,25,19.91,12.73,No,Minor,6.6,10.87,0,175
IronSniper4424,2017,1,South America,iOS,25,48,25.58,5.96,Yes,None,1.8,5.15,0,1200
WarKing1570,2026,7,South America,Android,12,104,11.36,48.5,No,Minor,2.7,12.17,1,1248
WarRaider3978,2020,11,Europe,Android,26,41,21.46,39.78,No,Minor,6,3.14,0,1066
EliteTitan3520,2024,4,Europe,Android,4,10,43.08,11.29,No,Minor,5.4,12.5,1,40
StormSlayer786,2016,5,Europe,iOS,21,18,31.25,21.56,Yes,Major,3,7.92,0,378
SilentSniper4003,2019,6,South America,Android,28,97,28.16,14.19,Yes,Minor,1.4,4.96,0,2716
IceHunter2570,2025,11,North America,Android,12,5,28.76,3.88,Yes,Minor,6.4,8.64,0,60
ProRider7639,2015,1,North America,Android,12,12,46.78,9.43,Yes,Major,9,9.44,0,144
EliteViper4036,2023,9,Asia,Android,26,115,59.52,38.38,Yes,Major,7.9,2.89,0,2990
ToxicChampion7725,2026,10,Europe,iOS,4,48,37.38,31.93,No,Minor,2.8,13.13,1,192
SilentTitan5777,2022,4,North America,iOS,12,87,46.34,2.16,No,Major,7.3,8.86,0,1044
ProLegend9377,2018,8,Asia,iOS,23,91,25.49,1.57,No,Major,3.1,6,0,2093
EliteWarrior9766,2019,5,Asia,iOS,8,107,52.34,38.42,Yes,Major,7.9,12.14,1,856
ToxicSlayer6888,2025,11,Europe,Android,24,109,28.12,45.91,No,None,7.8,4.58,0,2616
ToxicSniper9104,2025,8,Asia,iOS,30,79,56.43,6.97,No,None,3,2.61,0,2370
ProViper3787,2025,1,North America,Android,30,31,45.89,8.59,No,None,1.2,5.55,0,930
ShadowRaider921,2025,8,Asia,iOS,3,108,43.91,8.18,No,None,5.7,13.24,1,324
ShadowSniper531,2017,11,Asia,Android,16,40,20.96,2.72,Yes,Minor,6.7,9.41,0,640
StormSniper5736,2024,11,North America,Android,2,46,48.79,27.33,No,Minor,3.5,14.26,1,92
GhostSlayer3479,2023,4,Asia,Android,6,24,10.79,9.24,Yes,None,4.8,11.42,0,144
RoyalLegend8948,2020,2,Asia,Android,28,110,34.59,36.19,Yes,None,5.1,4.18,0,3080
IronKing643,2025,11,South America,iOS,17,12,45.45,42.16,Yes,None,7.6,8.73,0,204
StormMaster1110,2022,6,Asia,iOS,12,50,53.6,48.79,Yes,Minor,2.8,11.46,0,600
NightKing5846,2020,2,Asia,Android,9,104,36.33,34.07,No,Minor,1.8,10.98,0,936
RoyalDestroyer6413,2014,5,South America,Android,16,56,19.21,31.11,No,Minor,3.4,8.35,0,896
SilentLegend5950,2014,2,South America,iOS,7,30,51.69,11.94,No,Minor,5.5,12.27,1,210
ShadowChampion9828,2022,3,South America,iOS,8,39,47.24,0.55,No,Major,2.2,11.16,0,312
IronTitan4748,2024,11,Europe,iOS,7,64,13.45,2.38,Yes,Minor,3.1,12.88,1,448
EliteMaster3211,2022,6,Europe,Android,21,7,52.98,15.14,No,Major,5.5,7.35,0,147
SilentKnight5035,2017,1,North America,Android,5,8,57.79,8.93,Yes,Minor,7.5,13.71,1,40
StormWarrior9687,2026,6,Asia,Android,23,112,34.58,35.33,Yes,Minor,1.2,7.04,0,2576
StormHunter2667,2022,3,North America,Android,7,97,7.11,16.56,No,Minor,6.1,12.41,1,679
RoyalWizard7360,2016,7,Europe,iOS,18,66,55.36,2.08,Yes,None,4.5,6.91,0,1188
FireTitan8607,2020,2,Asia,Android,18,68,11.75,13.02,No,None,6.1,6.32,0,1224
NightSniper3053,2019,6,Asia,iOS,16,54,39.82,34.52,Yes,Major,6.8,8.49,0,864
EliteRaider9277,2021,8,South America,Android,7,96,27.05,39.77,No,None,1.3,12.29,1,672
StormRaider262,2024,1,Europe,iOS,21,23,59.56,3.63,No,Minor,5.8,7.15,0,483
ShadowHunter1688,2022,11,Asia,Android,2,47,55.44,2.11,Yes,None,9.5,13.43,1,94
RoyalRaider6232,2018,11,South America,iOS,17,96,48.15,9.79,No,None,4.8,7.88,0,1632
RoyalLegend2347,2014,9,Asia,iOS,25,86,15.96,1.36,No,Minor,9.2,4.24,0,2150
ProSniper9380,2016,5,Europe,Android,27,18,43.46,25.92,Yes,None,9.7,2.4,0,486
ToxicHunter6478,2023,5,North America,iOS,8,111,36.47,11.87,No,None,6.6,11.68,0,888
IronSniper691,2025,12,North America,iOS,2,18,12.44,4.42,No,Minor,5.7,14.47,1,36
GhostRider5239,2021,5,Asia,iOS,18,58,48.71,2.16,No,Major,8,7.53,0,1044
RoyalRaider5656,2024,6,South America,Android,19,33,9.76,52.44,No,Minor,8.1,6.55,0,627
UltraHunter5127,2019,2,South America,Android,20,7,31.49,0.88,Yes,Major,6.6,6.13,0,140
ProViper3752,2021,6,South America,Android,9,102,28.46,2.06,No,Minor,1,12.95,1,918
EliteWarrior9644,2022,11,Europe,Android,12,77,49.34,5.34,Yes,Minor,6.9,9.57,0,924
WarDestroyer8797,2017,4,North America,iOS,22,108,28.52,1.99,No,None,8.9,3.71,0,2376
SilentViper5094,2014,8,North America,iOS,19,9,43.19,20.67,No,Minor,1.6,8.39,0,171
DarkWarrior5219,2014,11,Asia,Android,30,97,31.3,4.92,Yes,Minor,3.7,2.99,0,2910
UltraTitan2286,2023,9,North America,iOS,8,109,37.01,13.08,Yes,None,8.7,9.36,0,872
GhostLegend7112,2017,9,South America,Android,22,9,18.26,39.36,No,Minor,6.6,4.54,0,198
FireLegend3437,2025,8,Europe,Android,8,49,16.13,34.83,Yes,None,2,12.91,1,392
ToxicTitan9991,2020,3,South America,iOS,10,68,44.05,3.16,No,Major,6.4,11.53,0,680
IronWarrior9907,2015,10,South America,Android,28,68,11.73,1.86,Yes,None,6.6,3.25,0,1904
FireMaster3025,2016,11,North America,iOS,18,47,14.68,21.83,No,Minor,2,7.35,0,846
NightHunter4599,2014,11,Europe,Android,15,47,56.75,4.72,No,None,2.5,10.78,0,705
FireViper7314,2018,4,Europe,Android,24,112,18.93,30.42,No,Minor,6.3,5.5,0,2688
IronRider3595,2014,1,South America,Android,11,55,22.78,11.4,Yes,Minor,4.7,11.94,0,605
IceDestroyer7238,2021,9,Asia,iOS,21,17,39.83,3.36,Yes,Minor,3.1,8.64,0,357
WarMaster5600,2014,5,North America,Android,26,94,29.22,73.16,Yes,Minor,6.6,5.16,0,2444
WarWarrior8617,2024,6,Asia,iOS,14,77,35.75,1.14,No,Major,2,11.53,0,1078
WarViper3987,2014,3,South America,Android,15,72,12.95,2.65,No,None,2,10.71,0,1080
EliteMaster6951,2015,11,North America,Android,14,107,41.98,33.43,No,Major,1.1,11.82,0,1498
StormLegend9737,2015,10,Asia,iOS,12,99,13.61,12.05,Yes,None,6.9,9.54,0,1188
EliteHunter3605,2025,8,Asia,iOS,4,73,46.12,55.63,Yes,Minor,9.4,13.36,1,292
FireViper543,2019,7,Asia,iOS,3,11,33.8,2.4,No,Minor,1.2,14.08,1,33
FireWizard8335,2020,1,North America,iOS,12,96,49.89,3.42,No,None,4.6,9.17,0,1152
FireChampion9850,2018,10,Asia,iOS,25,108,14.5,0.04,No,Major,2.6,5.64,0,2700
IceWizard3832,2014,12,Europe,iOS,26,82,25.76,4.9,No,None,6.8,3.33,0,2132
FireHunter1256,2014,5,South America,Android,7,92,51.58,21.42,No,Minor,5,12.66,1,644
NightMaster4987,2016,10,North America,iOS,7,46,48.93,25.7,Yes,Minor,6.3,12.76,1,322
ShadowSniper1933,2015,9,Europe,Android,22,106,58.12,11.24,Yes,None,8.6,4.27,0,2332
StormSlayer868,2018,12,Asia,Android,25,9,17.21,5.95,No,Minor,6.1,3.38,0,225
EliteKnight4874,2025,11,South America,Android,19,51,34.65,25.2,Yes,Minor,5.8,7.48,0,969
WarSniper2822,2023,12,Asia,iOS,14,52,5.98,3.79,No,Major,2.3,10.69,0,728
NightRider2042,2019,6,Europe,Android,1,102,58.09,29.14,Yes,Minor,5.2,14.78,1,102
SilentKing6676,2020,8,Asia,Android,7,96,14.63,30.89,No,None,6.6,12.29,1,672
FireWizard5605,2017,10,North America,Android,25,51,54.76,11.63,No,None,7.4,2.95,0,1275
FireViper8614,2020,1,Europe,iOS,22,12,42.31,4.3,Yes,Major,1.7,7.74,0,264
StormSlayer4051,2024,10,North America,Android,10,25,56.53,19.88,No,Minor,7.2,10.37,0,250
SilentMaster453,2021,11,South America,iOS,18,92,18.65,38.41,Yes,None,2.8,7.82,0,1656
DarkRaider3323,2024,7,North America,Android,13,28,23.98,15.08,No,Major,6.9,9.05,0,364
NightWarrior6556,2014,3,North America,iOS,8,17,14.04,12.36,No,Minor,3.5,11.31,0,136
WarChampion594,2019,9,Asia,iOS,9,117,28.23,77.48,No,None,6.3,9.58,0,1053
DarkKing2825,2021,6,Asia,Android,26,19,57.11,15.42,No,Minor,2.4,4.47,0,494
DarkChampion2190,2018,5,Europe,Android,15,114,36.41,0.7,No,None,9.6,7.64,0,1710
ToxicHunter5067,2017,8,South America,iOS,8,93,27.89,13.95,No,Major,7.3,10.93,0,744
NightKnight7381,2015,8,Europe,iOS,25,119,22.87,11.79,No,Major,3.3,6.88,0,2975
SilentWarrior511,2019,12,South America,iOS,1,113,37.16,6.91,Yes,Minor,8.5,14.75,1,113
FireSniper5279,2019,12,South America,Android,3,57,44.78,7.64,Yes,Minor,9.6,11.66,0,171
ShadowRider6079,2024,3,North America,Android,19,96,27.37,53.42,No,None,5.9,6.89,0,1824
SilentLegend5552,2014,2,Asia,Android,30,107,17.7,2.87,No,Major,4.1,4.67,0,3210
GhostViper7700,2022,2,South America,Android,9,76,37.18,28.88,Yes,Minor,2.7,11.79,0,684
DarkMaster9638,2025,5,Asia,Android,19,35,25.11,46.54,No,Minor,6.6,8.36,0,665
RoyalLegend7985,2024,10,South America,iOS,15,75,59.69,6.01,Yes,Minor,3.2,8.73,0,1125
